yr,blk,ag01,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12
"23","G","100004",0,0,0,0,0,0,-38402,0,0,0,0,0
"23","G","100005",0,0,0,0,0,0,291764,0,0,50735,0,0
"23","G","100006",0,0,0,0,0,0,0,0,0,5620,0,0
"23","G","100007",0,0,0,0,0,0,0,0,0,9783,0,0
"23","G","100011",0,22440,0,0,0,0,67548,0,0,0,0,0
"23","G","100013",0,30205364,0,51453,24907154,0,0,0,0,94370,24907154,0
"23","G","100014",0,205432,0,0,0,0,0,0,0,0,0,0
"23","G","100016",0,0,0,0,0,0,0,0,0,4304,0,0
"23","G","100020",0,8012689,0,0,0,0,0,0,0,3850,0,0
"23","G","100021",0,0,0,0,0,0,-6032911,0,0,0,0,0
"23","G","100022",0,64364393,0,0,0,0,0,0,0,0,0,0
"23","G","100025",0,632771,0,0,0,0,-4737472,0,0,0,0,0
"23","G","100026",0,0,0,0,0,0,0,0,0,5200,0,0
"23","G","100028",0,5959966,0,15145986,35182748,0,0,0,0,385660,567207956,0
"23","G","100030",0,5030425,0,18131761,1252393,0,0,0,0,655068,15654911,2592036
"23","G","100031",0,5360751,0,0,0,0,0,0,0,71003,0,0
"23","G","100032",0,1958617,0,50000,0,0,0,0,0,40400,0,0
"23","G","100033",0,13659,0,0,0,0,0,0,0,3847,0,0
"23","G","100034",0,0,0,0,0,0,0,0,0,8977,0,0
"23","G","100035",0,44860720,0,0,0,0,0,0,0,384840,0,0
"23","G","100036",0,45073,0,0,0,0,0,0,0,0,0,0
"23","G","100041",0,92555380,0,275678555,13893305,0,0,0,0,792659,72236743,0
"23","G","100042",1828253,252645,0,0,0,0,0,0,0,1324075,0,0
"23","G","100043",592678,0,0,0,865511,0,0,0,0,89810,2191640,0
"23","G","100044",2091477,0,0,0,0,0,0,0,0,0,0,0
"23","G","100045",910611,1330838,0,0,0,0,0,0,0,103278,0,0
"23","G","100046",188431,190335,0,0,0,0,0,0,0,0,0,0
"23","G","100047",0,27225,0,0,0,0,0,0,0,0,0,0
"23","G","100048",0,78881,0,0,0,0,0,0,0,0,0,0
"23","G","100049",0,0,0,0,0,0,0,0,0,10467,0,0
"23","G","100050",0,0,0,0,0,0,0,0,0,34502,0,0
"23","G","100051",0,19711959,0,0,0,0,0,0,0,1619,0,0
"23","G","100052",0,0,0,0,0,9600,0,0,0,0,0,0
"23","G","100053",14080000,38215000,0,0,24470000,0,0,600000,0,7969000,636234000,0
"23","G","100054",0,4136000,0,0,78427000,0,0,0,0,9675000,913644000,0
"23","G","100055",0,10592183,0,0,0,0,0,0,0,333828,0,0
"23","G","100056",0,0,0,0,0,0,729329,0,0,0,0,0
"23","G","100058",0,0,0,0,0,0,249004,0,0,0,0,0
"23","G","100060",0,92241000,0,0,0,0,0,0,0,0,0,0
"23","G","100062",0,184828,0,0,0,0,0,0,0,0,0,0
"23","G","100063",0,606341,0,0,0,0,0,0,0,42830,0,0
"23","G","100064",0,273937,0,0,0,0,0,0,0,31479,0,0
"23","G","100065",0,50636865,0,0,0,0,89048498,0,0,76473428,0,0
"23","G","100067",0,3245871,0,647707,0,120000,0,0,0,867591,0,0
"23","G","100068",0,13207,0,759160,0,0,-47277422,0,0,0,0,0
"23","G","100069",0,0,0,0,0,0,177000,0,0,0,0,0
"23","G","100071",0,2578789,0,0,0,0,0,600000,0,9593923,0,0
"23","G","100073",0,0,0,0,0,0,50900,0,0,0,0,0
"23","G","100074",0,3269929,0,0,0,0,0,0,0,0,10333645,0
"23","G","100075",0,1216871,0,0,0,0,0,0,0,153954,0,0
"23","G","100078",0,413,0,0,0,0,5246435,0,0,0,0,0
"23","G","100079",0,221780890,0,0,0,0,14988137,0,0,1002898,0,0
"23","G","100080",0,2028496,0,0,0,0,1604840,0,0,0,0,0
"23","G","100081",0,323937000,0,262901000,2522000,0,2515000,0,0,22061000,937583000,0
"23","G","100082",0,5828834,0,0,0,0,0,0,0,0,0,0
"23","G","100083",0,0,0,0,0,0,-1057369,0,0,2557,0,0
"23","G","100084",0,0,0,0,0,48000,0,0,0,23709,0,0
"23","G","100085",0,0,0,0,0,0,385147,0,0,30000,0,0
"23","G","100086",0,54000,0,0,0,0,0,0,0,8333,0,0
"23","G","100087",0,959717,0,0,82807,0,0,0,0,753146,2152989,0
"23","G","100088",0,65781,0,0,0,0,0,0,0,0,0,0
"23","G","100091",0,2000,0,0,0,0,-544148,0,0,0,0,0
"23","G","100092",0,356053369,0,0,4277,0,256749220,0,0,45396331,71280,0
"23","G","100093",0,34529418,0,0,0,0,3511430,0,0,275190,0,0
"23","G","100094",0,0,0,0,0,0,23738,0,0,0,0,0
"23","G","100095",0,793895,0,0,0,0,-33684,0,0,0,0,0
"23","G","100096",0,19500,0,0,0,0,-1786416,0,0,0,0,0
"23","G","100097",0,0,0,0,0,0,9804000,0,0,0,0,0
"23","G","100100",0,0,0,0,0,0,0,0,0,813,0,0
"23","G","100101",132119,0,0,0,0,0,697658,0,0,0,0,0
"23","G","100102",0,0,0,0,174000,0,-6000,0,0,21200,361000,0
"23","G","100103",427140,94865,0,0,0,0,0,0,0,111,0,0
"23","G","100104",0,3006179,0,0,0,0,0,0,0,482620,0,0
"23","G","100105",0,0,0,0,0,0,223939,0,0,7439,0,0
"23","G","100106",0,397,0,0,0,0,0,0,0,0,0,0
"23","G","100107",0,0,0,0,481617,0,0,0,0,0,2731948,0
"23","G","100108",0,203148,0,0,622370,0,-1342671,0,0,71203,4082996,0
"23","G","100110",0,0,0,0,0,0,14600,0,0,0,0,0
"23","G","100111",0,30569,0,0,0,0,2073244,0,0,232160,0,0
"23","G","100112",0,629213,0,0,0,0,-1236911,0,0,14899,0,0
"23","G","100113",0,14667,0,0,0,0,14297,0,0,0,0,0
"23","G","100114",0,616976,0,0,0,0,0,0,0,0,0,0
"23","G","100118",0,128048,0,0,0,0,0,0,0,0,0,0
"23","G","100119",0,0,0,0,0,0,114000,0,0,52000,0,0
"23","G","100121",822000,0,0,0,0,0,0,0,0,0,0,0
"23","G","100123",0,1025086,0,0,0,0,0,0,0,7496,0,0
"23","G","100125",0,1511925,0,0,0,0,0,0,0,58806,0,0
"23","G","100126",0,0,0,0,0,0,2188503,0,0,56029,0,0
"23","G","100127",0,46634,0,0,0,0,1153125,0,0,0,0,0
"23","G","100128",0,408700,0,0,0,0,0,0,0,0,0,0
"23","G","100129",0,244387,0,0,0,0,0,0,0,326,0,0
"23","G","100133",0,37122417,0,0,0,0,-373860,0,0,918531,0,0
"23","G","100134",0,1159300,0,30200,0,0,-132900,0,0,250500,0,0
"23","G","100136",0,32220910,0,0,0,0,0,0,0,30080,0,0
"23","G","100137",8100000,0,0,0,0,0,0,0,0,0,0,0
"23","G","100138",0,1270951,0,0,15870,0,1019375,0,0,0,317270,0
"23","G","100141",0,1686342,0,0,0,0,-600750,0,0,0,0,0
"23","G","100142",13999000,1000,0,0,0,0,0,0,0,98000,0,0
"23","G","100143",0,695,0,0,0,0,0,0,0,2014,0,0
"23","G","100144",7420365,0,0,0,0,0,0,0,0,0,0,0
"23","G","100145",0,0,0,10353998,0,0,3350130,0,0,0,0,0
"23","G","100146",59414461,5891964,0,0,0,0,-19286,0,0,15067406,0,0
"23","G","100147",0,2825509,0,0,0,0,-7746609,0,0,85990,0,0
"23","G","100151",0,73049440,0,0,0,0,403299,0,0,28895,0,0
"23","G","100152",0,32262024,0,0,0,0,73290061,0,0,99286,0,0
"23","G","100153",0,0,0,7916776,0,0,-12008890,0,0,0,0,0
"23","G","100154",0,24740168,0,0,0,0,-9096185,0,0,0,0,0
"23","G","100155",281101296,20115654,0,88047812,0,3112008,-67264192,0,0,5314603,0,0
"23","G","100156",0,16870000,0,0,0,0,56951000,0,0,2016000,0,0
"23","G","100157",0,27261156,0,0,0,0,12476611,0,0,6441,0,0
"23","G","100158",0,61803223,0,0,0,0,33643958,0,0,0,0,0
"23","G","100159",0,15221910,0,0,0,0,-8969070,282480,0,9834330,0,0
"23","G","100160",0,6520438,0,0,0,0,-9595305,117000,0,2870954,0,0
"23","G","100161",321152,39554889,0,0,0,0,0,0,0,210854,0,0
"23","G","100162",0,14239999,0,0,0,0,1918372,0,0,7125,0,0
"23","G","100163",0,48471346,0,4028285,0,0,70619006,0,0,0,0,0
"23","G","100164",0,0,0,0,0,0,28782955,0,0,0,0,0
"23","G","100165",0,6727556,0,0,0,0,0,0,0,43419,0,0
"23","G","100166",0,52873531,0,0,0,0,-175933669,0,0,0,0,0
"23","G","100167",0,42172828,0,0,0,0,0,0,0,120371,0,0
"23","G","100168",243061441,25698000,0,0,0,0,-2817899,0,0,162162,839085,0
"23","G","100169",0,85144605,0,0,0,0,12850858,0,0,21301,0,0
"23","G","100170",0,107603970,0,134067655,0,0,-7548305,0,0,0,0,0
"23","G","100171",0,294397,0,25520,0,0,-173577,0,0,0,0,0
"23","G","100172",0,91921129,0,0,182346,0,-20851625,0,0,31449,9617691,0
"23","G","100173",0,3540288,0,0,846836,0,0,0,0,74663,7056951,0
"23","G","100174",0,16819769,0,0,0,0,-37079222,0,0,4469481,0,0
"23","G","100175",0,2115380,0,0,0,0,14436005,0,0,77030,0,0
"23","G","100176",0,10203059,0,0,0,0,-4719635,0,0,99088,0,0
"23","G","100177",0,209965103,0,0,0,0,-4561980,0,0,0,0,0
"23","G","100178",0,51818722,0,0,0,0,6363998,0,0,57858,0,0
"23","G","100179",0,38362414,0,0,0,0,0,0,0,0,0,0
"23","G","100180",0,4050,0,0,0,0,0,0,0,0,0,0
"23","G","100181",0,64,0,722100,0,0,-1396470,0,0,0,0,0
"23","G","100182",0,16745340,0,0,0,0,-8430160,0,0,4614640,0,410610
"23","G","100183",0,32114112,0,0,0,0,2500189,0,0,55026,0,0
"23","G","100184",0,193727467,0,0,0,0,-14672754,0,0,0,0,0
"23","G","100185",0,5979043,0,0,0,0,-7158961,0,0,0,0,0
"23","G","100186",0,1444800,0,0,0,0,-674900,0,0,0,0,0
"23","G","100187",0,2386890,0,0,0,0,0,0,0,1120,0,0
"23","G","100188",0,254181593,0,54333245,0,0,6459523,0,0,230192,0,0
"23","G","100189",0,3550,0,0,0,0,0,0,0,8006,0,0
"23","G","100190",0,1200,0,0,296279,0,0,0,0,593437,846700,0
"23","G","100192",0,0,0,8097435,0,0,-18195933,0,0,0,0,0
"23","G","100193",0,35811825,0,3900000,867623,0,-84458793,0,0,505174,43690530,0
"23","G","100194",0,770415,0,0,654613,0,1553054,0,0,6743,13746863,0
"23","G","100195",0,348086225,0,0,0,0,0,0,0,0,0,0
"23","G","100196",0,233256800,0,9610000,1582000,0,23400000,0,0,1140000,13522000,0
"23","G","100197",0,0,0,0,0,0,23368661,0,0,0,0,0
"23","G","100198",0,0,0,77756951,0,0,-18289451,0,0,0,0,0
"23","G","100199",0,15063441,0,0,910537,0,2827590,0,0,1244177,6908141,0
"23","G","100200",1737244,8236205,0,0,3315,0,-5005562,0,0,68651,41265,0
"23","G","100201",0,0,0,0,0,0,0,0,0,9254,0,0
"23","G","100202",0,7970000,0,0,0,0,6180000,0,0,170000,0,0
"23","G","100203",2340400,1094224,0,0,0,0,916821,0,0,0,0,0
"23","G","100204",59765588,98189464,0,0,1347008,0,-4951095,0,0,1206840,26940161,0
"23","G","100206",0,1307643,0,0,0,0,0,0,0,0,0,0
