yr,blk,ai01,i_i1,i_i3,i_i4,i_i5,i_i6,i_i7
"23","I","100065",1,"0164000",9,24204719.00,4695715335,194.00
"23","I","100065",7,"9994000",0,0.00,4695715335,0.00
"23","I","100068",1,"0137600",27,1010.00,339565451,336203.42
"23","I","100068",2,"0137900",27,1100.00,651536499,592305.91
"23","I","100068",7,"9994000",0,0.00,991101950,0.00
"23","I","100071",1,"0149100",27,610.00,213588550,350145.16
"23","I","100071",7,"9994000",0,0.00,213588550,0.00
"23","I","100079",6,"9922100",0,0.00,1042015,0.00
"23","I","100079",7,"9994000",0,0.00,1042015,0.00
"23","I","100080",1,"0165900",27,15.70,15959707,1016541.85
"23","I","100080",6,"9922100",0,0.00,2193641,0.00
"23","I","100080",7,"9994000",0,0.00,18153348,0.00
"23","I","100087",1,"3649099",9,1752210.00,213011449,121.57
"23","I","100087",7,"9994000",0,0.00,213011449,0.00
"23","I","100133",6,"9922100",0,0.00,916614,0.00
"23","I","100133",7,"9994000",0,0.00,916614,0.00
"23","I","100134",1,"3423113",9,336800.00,51025630,151.50
"23","I","100134",2,"3455005",27,115.00,30995670,269527.57
"23","I","100134",7,"9994000",0,0.00,82021300,0.00
"23","I","100136",1,"3212203",27,8.20,484070,59032.93
"23","I","100136",7,"9994000",0,0.00,484070,0.00
"23","I","100151",1,"3411026",27,248.72,39985807,160766.89
"23","I","100151",7,"9994000",0,0.00,39985807,0.00
"23","I","100154",1,"3525083",9,45238.77,259029056,5725.82
"23","I","100154",7,"9994000",0,0.00,259029056,0.00
"23","I","100155",1,"3466303",9,848223.00,264857660,312.25
"23","I","100155",7,"9994000",0,0.00,264857660,0.00
"23","I","100159",1,"3466102",27,1250.00,271512539,217210.03
"23","I","100159",2,"3466312",9,547900.00,159459745,291.04
"23","I","100159",7,"9994000",0,0.00,430972284,0.00
"23","I","100163",2,"3466107",27,476.00,38290303,80441.81
"23","I","100163",3,"3466108",27,2.07,58514580,28243452.84
"23","I","100163",1,"3466106",27,250.00,85518440,342073.76
"23","I","100163",7,"9994000",0,0.00,182323323,0.00
"23","I","100168",1,"4324011",15,29033.46,3148098,108.43
"23","I","100168",7,"9994000",0,0.00,3148098,0.00
"23","I","100169",1,"3411062",27,510.35,201304464,394443.94
"23","I","100169",2,"3466305",9,519224.00,139658958,268.98
"23","I","100169",3,"3466102",27,231.88,84178002,363023.99
"23","I","100169",7,"9994000",0,0.00,425141424,0.00
"23","I","100173",1,"3338012",12,865913.00,119729240,138.27
"23","I","100173",7,"9994000",0,0.00,119729240,0.00
"23","I","100177",1,"3511071",9,659100.00,99527657,151.01
"23","I","100177",2,"3511050",27,13850.00,584560125,42206.51
"23","I","100177",3,"3543001",9,1934300.00,551278115,285.00
"23","I","100177",7,"9994000",0,0.00,1235365897,0.00
"23","I","100178",1,"3511071",9,442750.00,101560325,229.39
"23","I","100178",2,"3543001",9,72750.00,21235475,291.90
"23","I","100178",3,"3414018",9,77125.00,15097852,195.76
"23","I","100178",4,"3511050",27,95.00,17520475,184426.05
"23","I","100178",7,"9994000",0,0.00,155414127,0.00
"23","I","100180",8,"3461200",27,1868.00,134256780,71871.94
"23","I","100180",9,"3414064",27,910.00,132056471,145117.00
"23","I","100180",10,"3414029",9,1095290.00,133625476,122.00
"23","I","100180",11,"3414054",27,836.00,132191925,158124.31
"23","I","100180",1,"3414065",27,1497.00,171486522,114553.45
"23","I","100180",2,"3414030",27,905.00,167542881,185130.26
"23","I","100180",3,"3411072",9,1644000.00,156185200,95.00
"23","I","100180",4,"3414054",27,915.00,151245675,165295.82
"23","I","100180",5,"3414044",27,653.00,145678250,223090.74
"23","I","100180",6,"9922100",0,0.00,128679414,0.00
"23","I","100180",7,"9994000",0,0.00,1452948594,0.00
"23","I","100188",1,"3511086",27,2766.00,227224193,82149.02
"23","I","100188",2,"3511030",27,3152.00,192938886,61211.58
"23","I","100188",7,"9994000",0,0.00,420163079,0.00
"23","I","100192",1,"3412002",27,1050.00,213584838,203414.13
"23","I","100192",7,"9994000",0,0.00,213584838,0.00
